Review,Sentiment
This Laptop is garbage!,Negative
This Camera is great!,Positive
This Camera is garbage!,Negative
This Camera is perfect!,Positive
This Laptop is garbage!,Negative
This Phone is garbage!,Negative
This Laptop is perfect!,Positive
This Headphones is terrible!,Negative
This Headphones is superb!,Positive
This Headphones is terrible!,Negative
This Headphones is excellent!,Positive
This Camera is terrible!,Negative
This Watch is awful!,Negative
This Camera is excellent!,Positive
This Laptop is amazing!,Positive
This Laptop is superb!,Positive
This Laptop is superb!,Positive
This Camera is excellent!,Positive
This Watch is garbage!,Negative
This Phone is garbage!,Negative
This Headphones is superb!,Positive
This Laptop is useless!,Negative
This Phone is worst!,Negative
This Headphones is awful!,Negative
This Camera is terrible!,Negative
This Headphones is excellent!,Positive
This Headphones is awful!,Negative
This Phone is great!,Positive
This Headphones is superb!,Positive
This Camera is excellent!,Positive
This Headphones is excellent!,Positive
This Laptop is excellent!,Positive
This Watch is great!,Positive
This Laptop is superb!,Positive
This Headphones is useless!,Negative
This Camera is excellent!,Positive
This Camera is terrible!,Negative
This Headphones is worst!,Negative
This Watch is awful!,Negative
This Phone is fantastic!,Positive
This Watch is superb!,Positive
This Watch is terrible!,Negative
This Watch is amazing!,Positive
This Camera is great!,Positive
This Phone is worst!,Negative
This Laptop is superb!,Positive
This Watch is superb!,Positive
This Camera is amazing!,Positive
This Phone is perfect!,Positive
This Laptop is useless!,Negative
This Watch is worst!,Negative
This Camera is amazing!,Positive
This Camera is awful!,Negative
This Watch is amazing!,Positive
This Laptop is great!,Positive
This Headphones is awful!,Negative
This Laptop is bad!,Negative
This Watch is bad!,Negative
This Phone is awful!,Negative
This Watch is excellent!,Positive
This Phone is awful!,Negative
This Camera is perfect!,Positive
This Watch is garbage!,Negative
This Camera is garbage!,Negative
This Laptop is useless!,Negative
This Laptop is awful!,Negative
This Phone is amazing!,Positive
This Headphones is garbage!,Negative
This Camera is amazing!,Positive
This Phone is worst!,Negative
This Phone is awful!,Negative
This Laptop is perfect!,Positive
This Headphones is awful!,Negative
This Camera is worst!,Negative
This Laptop is amazing!,Positive
This Phone is superb!,Positive
This Laptop is bad!,Negative
This Headphones is fantastic!,Positive
This Laptop is perfect!,Positive
This Headphones is bad!,Negative
This Laptop is perfect!,Positive
This Camera is perfect!,Positive
This Camera is bad!,Negative
